mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,a_B_H,m_B_H,a_B_L,m_B_L,downward_distortion,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.9,4.0,2.0,2.2222222222222223,0.5720672823422235,9.999999999999512,0.5537745395386332,9.999999999999595,1.0,8.444447338146007,1.0,10.0,0.4462254604613668,-1.3784529073745944e-12,1.1937117960769683e-12,84.99999999998916,74.99999999999133,IC_L+IC_H,True,True,False,False
0.9,6.0,2.0,3.333333333333333,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,8.0,2.0,4.444444444444445,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,10.0,2.0,5.555555555555555,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,12.0,2.0,6.666666666666666,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,14.0,2.0,7.777777777777778,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,16.0,2.0,8.88888888888889,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,18.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,20.0,2.0,11.11111111111111,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,2.0,2.0,1.0,1.0,6.666670188435602,1.0,3.999999086486663,1.0,3.9999992006388654,1.0,6.666645992262073,0.0,1.0666673974756122,1.777782473472584,86.66666666666481,83.99999999999979,None,False,False,False,False
1.0,4.0,2.0,2.0,0.8824547176354509,9.999999999999972,0.979863128854001,9.804482268171245,1.0,8.000002398086636,1.0,10.0,0.020136871145999047,1.7465140444983263e-11,0.38721274529403615,84.99999999999986,75.38721274529395,IC_L,True,False,False,False
1.0,6.0,2.0,3.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,8.0,2.0,4.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,10.0,2.0,5.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,12.0,2.0,6.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,14.0,2.0,7.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,16.0,2.0,8.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,18.0,2.0,9.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,20.0,2.0,10.0,0.0,10.0,1.0,10.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
