rho,mu_A,lambda_A,Delta,in_corner_regime,pi_diff,pi_diff_analytical,normalized_diff,a_corner,rho_star,matches_analytical_sign
1.2,0.1,0.12,-0.07999999999999996,True,0.5412250525909534,0.5412250525909537,5.412250525909534,1,1.796338425716992,True
1.2,0.2,0.24,-0.15999999999999992,True,1.0824501051819069,1.0824501051819073,5.412250525909534,1,1.796338425716992,True
1.2,0.30000000000000004,0.36000000000000004,-0.23999999999999994,True,1.623675157772861,1.6236751577728612,5.412250525909536,1,1.796338425716992,True
1.2,0.4,0.48,-0.31999999999999984,True,2.1649002103638137,2.1649002103638146,5.412250525909534,1,1.796338425716992,True
1.2,0.5,0.6,-0.3999999999999998,True,2.7061252629547674,2.7061252629547683,5.412250525909535,1,1.796338425716992,True
1.2,0.6,0.72,-0.47999999999999976,True,3.247350315545721,3.247350315545722,5.412250525909536,1,1.796338425716992,True
1.2,0.7000000000000001,0.8400000000000001,-0.5599999999999998,True,3.788575368136675,3.788575368136676,5.412250525909536,1,1.796338425716992,True
1.2,0.8,0.96,-0.6399999999999997,True,4.3298004207276275,4.329800420727629,5.412250525909534,1,1.796338425716992,True
1.2,0.9,1.08,-0.7199999999999995,True,4.87102547331858,4.871025473318583,5.412250525909534,1,1.796338425716992,True
1.2,1.0,1.2,-0.7999999999999996,True,5.412250525909535,5.412250525909537,5.412250525909535,1,1.796338425716992,True
1.4,0.1,0.13999999999999999,-0.05999999999999997,True,0.3597089774058855,0.3597089774058855,3.5970897740588548,1,1.796338425716992,True
1.4,0.2,0.27999999999999997,-0.11999999999999994,True,0.719417954811771,0.719417954811771,3.5970897740588548,1,1.796338425716992,True
1.4,0.30000000000000004,0.42000000000000004,-0.17999999999999994,True,1.0791269322176567,1.0791269322176567,3.5970897740588548,1,1.796338425716992,True
1.4,0.4,0.5599999999999999,-0.23999999999999988,True,1.438835909623542,1.438835909623542,3.5970897740588548,1,1.796338425716992,True
1.4,0.5,0.7,-0.2999999999999998,True,1.798544887029427,1.7985448870294274,3.597089774058854,1,1.796338425716992,True
1.4,0.6,0.84,-0.35999999999999976,True,2.158253864435312,2.158253864435313,3.5970897740588534,1,1.796338425716992,True
1.4,0.7000000000000001,0.98,-0.41999999999999993,True,2.5179628418411992,2.517962841841199,3.5970897740588557,1,1.796338425716992,True
1.4,0.8,1.1199999999999999,-0.47999999999999976,True,2.877671819247084,2.877671819247084,3.5970897740588548,1,1.796338425716992,True
1.4,0.9,1.26,-0.5399999999999996,True,3.2373807966529684,3.2373807966529693,3.597089774058854,1,1.796338425716992,True
1.4,1.0,1.4,-0.5999999999999996,True,3.597089774058854,3.5970897740588548,3.597089774058854,1,1.796338425716992,True
1.6,0.1,0.16000000000000003,-0.039999999999999925,True,0.17819290222081693,0.1781929022208173,1.7819290222081692,1,1.796338425716992,True
1.6,0.2,0.32000000000000006,-0.07999999999999985,True,0.35638580444163387,0.3563858044416346,1.7819290222081692,1,1.796338425716992,True
1.6,0.30000000000000004,0.4800000000000001,-0.11999999999999988,True,0.5345787066624517,0.534578706662452,1.7819290222081718,1,1.796338425716992,True
1.6,0.4,0.6400000000000001,-0.1599999999999997,True,0.7127716088832677,0.7127716088832692,1.7819290222081692,1,1.796338425716992,True
1.6,0.5,0.8,-0.19999999999999973,True,0.8909645111040857,0.8909645111040865,1.7819290222081714,1,1.796338425716992,True
