kappa,k,q1,q2,m1,m2,dm,unspecified1,lhs_ass1,ass1_holds,mono_holds,cross_partial_negative,m_soph,m_naive,u_soph,u_naive,welfare_loss,naive_worse,naive_underspec
0.2,7,0.91,0.9199999999999999,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.9199999999999999,0.9299999999999999,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.9299999999999999,0.94,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.94,0.95,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.95,0.96,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.96,0.97,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.97,0.98,7.0,7.0,0.0,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,7,0.98,0.99,7.0,4.921,-2.0789999999999997,0.0,-0.0,True,True,True,7.0,7.0,95.1,95.1,0.0,True,True
0.2,8,0.7,0.71,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.71,0.72,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.72,0.73,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.73,0.74,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.74,0.75,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.75,0.76,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.76,0.77,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.77,0.78,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.78,0.79,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.79,0.7999999999999999,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.7999999999999999,0.8099999999999999,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.8099999999999999,0.82,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.82,0.83,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.83,0.84,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.84,0.85,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.85,0.86,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.86,0.87,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.87,0.88,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.88,0.89,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.89,0.9,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.9,0.91,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.91,0.9199999999999999,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.9199999999999999,0.9299999999999999,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.9299999999999999,0.94,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.94,0.95,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.95,0.96,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.96,0.97,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.97,0.98,8.0,8.0,0.0,0.0,-0.0,True,True,True,8.0,8.0,93.6,93.6,0.0,True,True
0.2,8,0.98,0.99,8.0,4.868,-3.1319999999999997,0.0,-0.0,True,True,True,8.0,7.5,93.6,93.36994936611666,0.23005063388333724,True,True
0.2,9,0.7,0.71,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.71,0.72,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.72,0.73,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.73,0.74,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.74,0.75,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.75,0.76,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.76,0.77,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.77,0.78,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.78,0.79,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.79,0.7999999999999999,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.7999999999999999,0.8099999999999999,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.8099999999999999,0.82,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.82,0.83,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.83,0.84,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.84,0.85,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.85,0.86,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.86,0.87,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.87,0.88,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.88,0.89,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.89,0.9,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.9,0.91,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.91,0.9199999999999999,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.9199999999999999,0.9299999999999999,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.9299999999999999,0.94,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.94,0.95,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.95,0.96,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.96,0.97,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.97,0.98,9.0,9.0,0.0,0.0,-0.0,True,True,True,9.0,9.0,91.9,91.9,0.0,True,True
0.2,9,0.98,0.99,9.0,4.8195,-4.1805,0.0,-0.0,True,True,True,9.0,7.4475,91.9,91.3656810535361,0.5343189464639124,True,True
0.2,10,0.7,0.71,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.71,0.72,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.72,0.73,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.73,0.74,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.74,0.75,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.75,0.76,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.76,0.77,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.77,0.78,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.78,0.79,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.79,0.7999999999999999,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.7999999999999999,0.8099999999999999,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.8099999999999999,0.82,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.82,0.83,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.83,0.84,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.84,0.85,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.85,0.86,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.86,0.87,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.87,0.88,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.88,0.89,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.89,0.9,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.9,0.91,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.91,0.9199999999999999,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.9199999999999999,0.9299999999999999,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.9299999999999999,0.94,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.94,0.95,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.95,0.96,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.96,0.97,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.97,0.98,10.0,10.0,0.0,0.0,-0.0,True,True,True,10.0,10.0,90.0,90.0,0.0,True,True
0.2,10,0.98,0.99,10.0,4.7700000000000005,-5.2299999999999995,0.0,-0.0,True,True,True,10.0,7.3950000000000005,90.0,89.40468006079618,0.5953199392038186,True,True
0.2,11,0.7,0.71,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.71,0.72,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.72,0.73,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.73,0.74,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.74,0.75,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.75,0.76,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.76,0.77,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.77,0.78,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
0.2,11,0.78,0.79,11.0,11.0,0.0,0.0,-0.0,True,True,True,11.0,11.0,87.9,87.9,0.0,True,True
