kappa,m_FB,a_FB,U_FB,is_optimal
0.189,26.455026455026456,0.0,116.13756613756614,True
0.19,26.31578947368421,0.0,115.78947368421052,True
0.191,26.17801047120419,0.0,115.44502617801045,True
0.192,26.041666666666668,0.0,115.10416666666667,True
0.193,25.906735751295336,0.0,114.76683937823834,True
0.194,25.77319587628866,0.0,114.43298969072166,True
0.195,25.64102564102564,0.0,114.10256410256409,True
0.196,25.51020408163265,0.0,113.77551020408163,True
0.197,25.380710659898476,0.0,113.4517766497462,True
0.198,25.252525252525253,0.0,113.13131313131314,True
0.199,25.125628140703515,0.0,112.81407035175877,True
0.2,25.0,0.0,112.5,True
0.201,24.87562189054726,0.0,112.18905472636817,True
0.202,24.75247524752475,0.0,111.88118811881188,True
0.203,24.63054187192118,0.0,111.57635467980296,True
0.20400000000000001,24.509803921568626,0.0,111.27450980392156,True
0.20500000000000002,24.39024390243902,0.0,110.97560975609755,True
0.20600000000000002,24.271844660194173,0.0,110.67961165048546,True
0.20700000000000002,24.154589371980673,0.0,110.38647342995168,True
0.20800000000000002,24.038461538461537,0.0,110.09615384615384,True
0.20900000000000002,23.923444976076553,0.0,109.80861244019138,True
0.21000000000000002,23.809523809523807,0.0,109.52380952380952,True
0.21100000000000002,23.696682464454973,0.0,109.24170616113743,True
0.21200000000000002,23.584905660377355,0.0,108.96226415094338,True
0.21300000000000002,23.474178403755865,0.0,108.68544600938966,True
0.21400000000000002,23.36448598130841,0.0,108.41121495327101,True
0.21500000000000002,23.25581395348837,0.0,108.13953488372093,True
0.21600000000000003,23.148148148148145,0.0,107.87037037037038,True
0.21700000000000003,23.04147465437788,0.0,107.6036866359447,True
0.21800000000000003,22.935779816513758,0.0,107.33944954128441,True
0.21900000000000003,22.8310502283105,0.0,107.07762557077626,True
0.22,22.727272727272727,0.0,106.81818181818181,True
0.221,22.624434389140273,0.0,106.56108597285069,True
0.222,22.52252252252252,0.0,106.30630630630631,True
0.223,22.42152466367713,0.0,106.05381165919285,True
0.224,22.32142857142857,0.0,105.80357142857142,True
0.225,22.22222222222222,0.0,105.55555555555556,True
0.226,22.123893805309734,0.0,105.30973451327434,True
0.227,22.026431718061673,0.0,105.06607929515418,True
0.228,21.929824561403507,0.0,104.82456140350877,True
0.229,21.83406113537118,0.0,104.58515283842794,True
0.23,21.73913043478261,0.0,104.34782608695653,True
0.231,21.645021645021643,0.0,104.11255411255411,True
0.232,21.551724137931032,0.0,103.8793103448276,True
0.233,21.459227467811157,0.0,103.6480686695279,True
0.234,21.367521367521366,0.0,103.4188034188034,True
0.23500000000000001,21.27659574468085,0.0,103.19148936170212,True
0.23600000000000002,21.1864406779661,0.0,102.96610169491525,True
0.23700000000000002,21.09704641350211,0.0,102.74261603375525,True
0.23800000000000002,21.008403361344538,0.0,102.52100840336135,True
0.23900000000000002,20.920502092050206,0.0,102.30125523012552,True
0.24000000000000002,20.833333333333332,0.0,102.08333333333333,True
0.24100000000000002,20.746887966804977,0.0,101.86721991701245,True
0.24200000000000002,20.661157024793386,0.0,101.65289256198346,True
0.24300000000000002,20.576131687242796,0.0,101.440329218107,True
0.24400000000000002,20.491803278688522,0.0,101.2295081967213,True
0.245,20.408163265306122,0.0,101.0204081632653,True
0.246,20.32520325203252,0.0,100.8130081300813,True
0.247,20.242914979757085,0.0,100.60728744939271,True
0.248,20.161290322580644,0.0,100.40322580645162,True
0.249,20.080321285140563,0.0,100.20080321285141,True
0.25,20.0,0.0,100.0,True
0.251,19.9203187250996,0.0,99.80079681274901,True
0.252,19.841269841269842,0.0,99.60317460317461,True
0.253,19.76284584980237,0.0,99.40711462450594,True
0.254,19.68503937007874,0.0,99.21259842519686,True
0.255,19.607843137254903,0.0,99.01960784313727,True
0.256,19.53125,0.0,98.828125,True
0.257,19.455252918287936,0.0,98.63813229571986,True
0.258,19.37984496124031,0.0,98.44961240310077,True
0.259,19.305019305019304,0.0,98.26254826254825,True
0.26,19.23076923076923,0.0,98.07692307692307,True
0.261,19.157088122605362,0.0,97.89272030651341,True
0.262,19.083969465648853,0.0,97.70992366412213,True
0.263,19.011406844106464,0.0,97.52851711026616,True
0.264,18.939393939393938,0.0,97.34848484848484,True
0.265,18.867924528301884,0.0,97.16981132075472,True
0.266,18.796992481203006,0.0,96.99248120300751,True
0.267,18.726591760299623,0.0,96.81647940074906,True
0.268,18.656716417910445,0.0,96.64179104477611,True
0.269,18.587360594795538,0.0,96.46840148698887,True
0.27,18.51851851851852,0.0,96.2962962962963,True
0.271,18.450184501845015,0.0,96.12546125461253,True
0.272,18.38235294117647,0.0,95.95588235294116,True
0.273,18.315018315018314,0.0,95.78754578754578,True
0.274,18.24817518248175,0.0,95.62043795620437,True
0.275,18.18181818181818,0.0,95.45454545454547,True
0.276,18.115942028985504,0.0,95.28985507246375,True
0.277,18.050541516245485,0.0,95.1263537906137,True
0.278,17.985611510791365,0.0,94.96402877697841,True
0.279,17.921146953405017,0.0,94.80286738351252,True
0.28,17.857142857142854,0.0,94.64285714285714,True
0.281,17.79359430604982,0.0,94.48398576512454,True
0.28200000000000003,17.730496453900706,0.0,94.32624113475177,True
0.28300000000000003,17.667844522968196,0.0,94.1696113074205,True
0.28400000000000003,17.6056338028169,0.0,94.01408450704223,True
0.28500000000000003,17.543859649122805,0.0,93.85964912280701,True
0.28600000000000003,17.48251748251748,0.0,93.7062937062937,True
0.28700000000000003,17.421602787456443,0.0,93.55400696864109,True
0.28800000000000003,17.36111111111111,0.0,93.40277777777777,True
0.28900000000000003,17.301038062283734,0.0,93.25259515570936,True
0.29000000000000004,17.241379310344826,0.0,93.10344827586206,True
0.29100000000000004,17.18213058419244,0.0,92.9553264604811,True
0.29200000000000004,17.123287671232873,0.0,92.8082191780822,True
0.29300000000000004,17.06484641638225,0.0,92.66211604095562,True
0.29400000000000004,17.006802721088434,0.0,92.51700680272108,True
0.29500000000000004,16.94915254237288,0.0,92.37288135593218,True
0.29600000000000004,16.89189189189189,0.0,92.22972972972973,True
0.29700000000000004,16.835016835016834,0.0,92.08754208754209,True
0.29800000000000004,16.778523489932883,0.0,91.9463087248322,True
0.29900000000000004,16.72240802675585,0.0,91.80602006688963,True
0.30000000000000004,16.666666666666664,0.0,91.66666666666666,True
0.30100000000000005,16.61129568106312,0.0,91.5282392026578,True
0.30200000000000005,16.556291390728475,0.0,91.39072847682118,True
0.30300000000000005,16.5016501650165,0.0,91.25412541254124,True
0.30400000000000005,16.44736842105263,0.0,91.11842105263158,True
0.30500000000000005,16.39344262295082,0.0,90.98360655737704,True
0.30600000000000005,16.33986928104575,0.0,90.84967320261438,True
0.30700000000000005,16.28664495114006,0.0,90.71661237785017,True
0.30800000000000005,16.233766233766232,0.0,90.58441558441558,True
0.309,16.181229773462782,0.0,90.45307443365695,True
0.31,16.129032258064516,0.0,90.32258064516131,True
0.311,16.077170418006432,0.0,90.19292604501608,True
0.312,16.025641025641026,0.0,90.06410256410257,True
0.313,15.97444089456869,0.0,89.93610223642173,True
0.314,15.92356687898089,0.0,89.80891719745225,True
0.315,15.873015873015873,0.0,89.68253968253968,True
0.316,15.822784810126581,0.0,89.55696202531645,True
0.317,15.772870662460567,0.0,89.43217665615143,True
0.318,15.723270440251572,0.0,89.30817610062893,True
0.319,15.67398119122257,0.0,89.18495297805643,True
0.32,15.625,0.0,89.0625,True
0.321,15.57632398753894,0.0,88.94080996884735,True
0.322,15.527950310559007,0.0,88.81987577639751,True
0.323,15.479876160990711,0.0,88.69969040247678,True
0.324,15.432098765432098,0.0,88.58024691358025,True
0.325,15.384615384615383,0.0,88.46153846153847,True
0.326,15.337423312883436,0.0,88.34355828220859,True
0.327,15.290519877675841,0.0,88.2262996941896,True
0.328,15.24390243902439,0.0,88.10975609756098,True
0.329,15.19756838905775,0.0,87.99392097264437,True
0.33,15.15151515151515,0.0,87.87878787878788,True
0.331,15.105740181268882,0.0,87.7643504531722,True
0.332,15.06024096385542,0.0,87.65060240963855,True
0.333,15.015015015015015,0.0,87.53753753753753,True
0.334,14.97005988023952,0.0,87.42514970059878,True
0.335,14.925373134328357,0.0,87.31343283582089,True
0.336,14.88095238095238,0.0,87.20238095238095,True
0.337,14.836795252225519,0.0,87.0919881305638,True
0.338,14.792899408284022,0.0,86.98224852071007,True
0.339,14.749262536873156,0.0,86.87315634218288,True
0.33999999999999997,14.705882352941178,0.0,86.76470588235294,True
0.34099999999999997,14.66275659824047,0.0,86.65689149560117,True
0.34199999999999997,14.619883040935674,0.0,86.54970760233917,True
0.34299999999999997,14.57725947521866,0.0,86.44314868804665,True
0.344,14.534883720930234,0.0,86.33720930232559,True
0.345,14.492753623188406,0.0,86.23188405797103,True
0.346,14.450867052023122,0.0,86.12716763005781,True
0.347,14.409221902017292,0.0,86.02305475504323,True
0.348,14.367816091954024,0.0,85.91954022988506,True
0.349,14.326647564469916,0.0,85.81661891117479,True
0.35,5.714285714285714,1.0,85.71428571428572,True
0.351,5.698005698005699,1.0,85.6980056980057,True
0.352,5.6818181818181825,1.0,85.68181818181817,True
0.353,5.6657223796034,1.0,85.66572237960341,True
0.354,5.649717514124294,1.0,85.64971751412429,True
0.355,5.633802816901409,1.0,85.63380281690141,True
0.356,5.617977528089888,1.0,85.6179775280899,True
0.357,5.602240896358544,1.0,85.60224089635855,True
0.358,5.58659217877095,1.0,85.58659217877094,True
0.359,5.571030640668524,1.0,85.57103064066852,True
