mu_A,lambda_A,c_Q,bias_ratio,a_L,m_L,a_H,m_H,IC_L_slack,IC_H_slack,IR_L_slack,IR_H_slack,active_constraints,IC_L_active,IC_H_active,IR_L_active,IR_H_active
0.7000000000000001,14.0,2.0,9.999999999999998,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,16.0,2.0,11.428571428571427,8.614844972275996e-15,10.0,0.5000000000049951,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,18.0,2.0,12.857142857142856,0.0,10.0,0.49999999999624123,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.7000000000000001,20.0,2.0,14.285714285714285,0.0,10.0,0.4999999999996092,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,2.0,2.0,1.25,1.0,6.666668782605293,1.0,4.0,1.066666666665995,1.7777805990304074,86.66666666666599,84.0,None,False,False,False,False
0.8,4.0,2.0,2.5,8.920646766514196e-17,10.0,0.7037037168106627,9.25925899711761,2.7000623958883807e-13,1.4266122824293888,85.0,76.42661228242939,IC_L,True,False,False,False
0.8,6.0,2.0,3.75,6.859695378408886e-17,10.0,0.1435564016157052,9.999999999999961,7.105427357601002e-14,1.4210854715202004e-14,85.0,75.00000000000001,IC_L+IC_H,True,True,False,False
0.8,8.0,2.0,5.0,4.222106394745867e-16,10.0,0.24671067132018695,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,10.0,2.0,6.25,3.590862158893606e-17,10.0,0.333333333333291,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,12.0,2.0,7.5,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,14.0,2.0,8.75,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,16.0,2.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,18.0,2.0,11.25,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.8,20.0,2.0,12.5,0.0,10.0,0.49999999999982947,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,2.0,2.0,1.1111111111111112,1.0,6.666666492715802,1.0,4.0,1.0666666666666629,1.7777775458432927,86.66666666666666,84.0,None,False,False,False,False
0.9,4.0,2.0,2.2222222222222223,7.697570570959124e-16,10.0,0.7280701616243674,8.771930100846062,-2.842170943040401e-14,2.305324230587104,85.0,77.3053242305871,IC_L,True,False,False,False
0.9,6.0,2.0,3.333333333333333,2.8001946878544315e-17,10.0,0.143556890392718,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,8.0,2.0,4.444444444444445,1.786565970676078e-16,10.0,0.24671037991791064,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,10.0,2.0,5.555555555555555,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,12.0,2.0,6.666666666666666,0.0,10.0,0.4166666666666753,9.999999999999998,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,14.0,2.0,7.777777777777778,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,16.0,2.0,8.88888888888889,7.760250599686973e-15,10.0,0.5000000000045546,9.999999999999998,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,18.0,2.0,10.0,0.0,10.0,0.4999999999854339,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
0.9,20.0,2.0,11.11111111111111,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,2.0,2.0,1.0,0.9999999999999919,6.666668552323415,0.9999999999999645,4.0,1.0666666666666913,1.7777802919871135,86.66666666666605,83.99999999999936,None,False,False,False,False
1.0,4.0,2.0,2.0,7.316888633305113e-16,10.0,0.7499999559235518,8.33333421486269,-9.947598300641403e-14,3.0555540863399813,85.0,78.05555408633998,IC_L,True,False,False,False
1.0,6.0,2.0,3.0,7.74603024950855e-16,10.0,0.14355536954792086,9.999999999999988,1.4210854715202004e-14,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,8.0,2.0,4.0,9.655672475122408e-17,10.0,0.24671035343144804,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,10.0,2.0,5.0,0.0,10.0,0.3333333333332936,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,12.0,2.0,6.0,8.674859577032987e-16,10.0,0.41666666666665814,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,14.0,2.0,7.0,0.0,10.0,0.0,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,16.0,2.0,8.0,0.0,9.999999999999998,0.5000000000063451,10.0,-1.4210854715202004e-14,0.0,84.99999999999999,75.0,IC_L+IC_H,True,True,False,False
1.0,18.0,2.0,9.0,5.163404426243363e-15,10.0,0.49999999998802735,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
1.0,20.0,2.0,10.0,0.0,10.0,0.4999999999759268,10.0,0.0,0.0,85.0,75.0,IC_L+IC_H,True,True,False,False
